,scaler,fs_model,fs_m,pca_n,tot_n_features,max_depth,n_estimators,train_mcc,val_mcc,train_balanced_acc,val_balanced_acc
0,RobustScaler,ExtraTreesClf_50,100,0,100,5,500,0.5745919728271868,0.4122689066835137,0.9604023600579363,0.81749173553719
1,RobustScaler,ExtraTreesClf_50,100,0,100,5,1000,0.579577627390723,0.41794826470412794,0.9615465160035216,0.8216997245179062
2,RobustScaler,ExtraTreesClf_50,100,0,100,5,1500,0.5815407272141007,0.41712754177315625,0.9616295688847234,0.8216584022038568
3,RobustScaler,ExtraTreesClf_50,100,0,100,5,2000,0.5778068070279049,0.4186948518958912,0.9604639352759079,0.8217823691460054
4,RobustScaler,ExtraTreesClf_50,100,0,100,10,500,0.9015207660949367,0.4876492706136931,0.9988429752066115,0.7297258953168044
5,RobustScaler,ExtraTreesClf_50,100,0,100,10,1000,0.9005178534023528,0.48384788125036576,0.9988326446280992,0.7296432506887052
6,RobustScaler,ExtraTreesClf_50,100,0,100,10,1500,0.9005977218608032,0.4939212297082598,0.9988326446280992,0.7338925619834711
7,RobustScaler,ExtraTreesClf_50,100,0,100,10,2000,0.9036142154124727,0.4939212297082598,0.9988739669421488,0.7338925619834711
8,RobustScaler,ExtraTreesClf_50,100,0,100,20,500,1.0,0.5190873395793333,1.0,0.6856721763085399
9,RobustScaler,ExtraTreesClf_50,100,0,100,20,1000,1.0,0.5270572867049893,1.0,0.6896721763085398
10,RobustScaler,ExtraTreesClf_50,100,0,100,20,1500,1.0,0.5270572867049893,1.0,0.6896721763085398
11,RobustScaler,ExtraTreesClf_50,100,0,100,20,2000,1.0,0.5270572867049893,1.0,0.6896721763085398
12,RobustScaler,ExtraTreesClf_50,100,0,100,None,500,1.0,0.5190873395793333,1.0,0.6856721763085399
13,RobustScaler,ExtraTreesClf_50,100,0,100,None,1000,1.0,0.5232182236518008,1.0,0.6857134986225896
14,RobustScaler,ExtraTreesClf_50,100,0,100,None,1500,1.0,0.5311881707774567,1.0,0.6897134986225895
15,RobustScaler,ExtraTreesClf_50,100,0,100,None,2000,1.0,0.5227329397276064,1.0,0.6855468319559229
16,RobustScaler,ExtraTreesClf_200,100,0,100,5,500,0.564251343828529,0.4051897555645148,0.9609671871006219,0.8246253443526171
17,RobustScaler,ExtraTreesClf_200,100,0,100,5,1000,0.5663702330982365,0.40533230471617676,0.9630811039163898,0.8247493112947659
18,RobustScaler,ExtraTreesClf_200,100,0,100,5,1500,0.568473448529015,0.4059184431212103,0.963194740280026,0.824831955922865
19,RobustScaler,ExtraTreesClf_200,100,0,100,5,2000,0.5667408843308561,0.40784784750332204,0.9631228344835421,0.8249559228650136
20,RobustScaler,ExtraTreesClf_200,100,0,100,10,500,0.8854281251568246,0.502296265104208,0.9986363636363637,0.7419765840220386
21,RobustScaler,ExtraTreesClf_200,100,0,100,10,1000,0.8853405183531281,0.49948806437550164,0.9986363636363637,0.741935261707989
22,RobustScaler,ExtraTreesClf_200,100,0,100,10,1500,0.8860829489713058,0.49948806437550164,0.998646694214876,0.741935261707989
23,RobustScaler,ExtraTreesClf_200,100,0,100,10,2000,0.8882273788894544,0.4933413348417746,0.9986776859504133,0.7377685950413223
24,RobustScaler,ExtraTreesClf_200,100,0,100,20,500,1.0,0.5080616145325201,1.0,0.6814641873278238
25,RobustScaler,ExtraTreesClf_200,100,0,100,20,1000,1.0,0.514662937288927,1.0,0.6813388429752065
26,RobustScaler,ExtraTreesClf_200,100,0,100,20,1500,1.0,0.5098747052786374,1.0,0.681297520661157
27,RobustScaler,ExtraTreesClf_200,100,0,100,20,2000,1.0,0.5098747052786374,1.0,0.681297520661157
28,RobustScaler,ExtraTreesClf_200,100,0,100,None,500,1.0,0.4877288362872788,1.0,0.6648801652892563
29,RobustScaler,ExtraTreesClf_200,100,0,100,None,1000,1.0,0.503703829851754,1.0,0.6730468319559229
30,RobustScaler,ExtraTreesClf_200,100,0,100,None,1500,1.0,0.5064313062309707,1.0,0.6771721763085401
31,RobustScaler,ExtraTreesClf_200,100,0,100,None,2000,1.0,0.5064313062309707,1.0,0.6771721763085401
32,RobustScaler,ExtraTreesClf_500,100,0,100,5,500,0.5846642475130979,0.4298779512468537,0.9539069644429297,0.8219876033057851
33,RobustScaler,ExtraTreesClf_500,100,0,100,5,1000,0.5847737374509372,0.42280832863508006,0.9558659225810116,0.8177382920110192
34,RobustScaler,ExtraTreesClf_500,100,0,100,5,1500,0.5897726869317037,0.4237140033158188,0.9581042145920307,0.8178622589531681
35,RobustScaler,ExtraTreesClf_500,100,0,100,5,2000,0.5890250053431207,0.4175234545710159,0.9580938840135185,0.8136542699724517
36,RobustScaler,ExtraTreesClf_500,100,0,100,10,500,0.8987724094889593,0.5052839822245387,0.9988223140495867,0.7379752066115703
37,RobustScaler,ExtraTreesClf_500,100,0,100,10,1000,0.8973509171866866,0.5004639130204065,0.998801652892562,0.7419352617079891
38,RobustScaler,ExtraTreesClf_500,100,0,100,10,1500,0.8972847913656766,0.5047785392322758,0.998801652892562,0.7420179063360882
39,RobustScaler,ExtraTreesClf_500,100,0,100,10,2000,0.8987814596747727,0.5053668648681608,0.9988223140495867,0.7420179063360882
