,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__max_depth,param_clf__min_samples_leaf,param_clf__n_estimators,param_remove_corr__n_remove,param_resample__sampling_strategy,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,mean_test_score,std_test_score,rank_test_score
0,65.49960196018219,0.5768569009056133,0.0,0.0,10,,500,10,0.0075,"{'clf__max_depth': 10, 'clf__min_samples_leaf': None, 'clf__n_estimators': 500, 'remove_corr__n_remove': 10, 'resample__sampling_strategy': 0.0075}",,,,,,,32
1,61.3336124420166,1.0319928216284047,0.0,0.0,10,,500,10,0.01,"{'clf__max_depth': 10, 'clf__min_samples_leaf': None, 'clf__n_estimators': 500, 'remove_corr__n_remove': 10, 'resample__sampling_strategy': 0.01}",,,,,,,18
2,61.19273489713669,0.674410331218531,0.0,0.0,10,,500,50,0.0075,"{'clf__max_depth': 10, 'clf__min_samples_leaf': None, 'clf__n_estimators': 500, 'remove_corr__n_remove': 50, 'resample__sampling_strategy': 0.0075}",,,,,,,27
3,61.6550874710083,0.9910220235987149,0.0,0.0,10,,500,50,0.01,"{'clf__max_depth': 10, 'clf__min_samples_leaf': None, 'clf__n_estimators': 500, 'remove_corr__n_remove': 50, 'resample__sampling_strategy': 0.01}",,,,,,,28
4,62.22989124059677,1.187467278014208,0.0,0.0,10,,1000,10,0.0075,"{'clf__max_depth': 10, 'clf__min_samples_leaf': None, 'clf__n_estimators': 1000, 'remove_corr__n_remove': 10, 'resample__sampling_strategy': 0.0075}",,,,,,,29
5,62.42802965641022,1.5255817380979184,0.0,0.0,10,,1000,10,0.01,"{'clf__max_depth': 10, 'clf__min_samples_leaf': None, 'clf__n_estimators': 1000, 'remove_corr__n_remove': 10, 'resample__sampling_strategy': 0.01}",,,,,,,24
6,62.215876162052155,1.1083525655081137,0.0,0.0,10,,1000,50,0.0075,"{'clf__max_depth': 10, 'clf__min_samples_leaf': None, 'clf__n_estimators': 1000, 'remove_corr__n_remove': 50, 'resample__sampling_strategy': 0.0075}",,,,,,,17
7,62.06486338376999,1.1060786261243096,0.0,0.0,10,,1000,50,0.01,"{'clf__max_depth': 10, 'clf__min_samples_leaf': None, 'clf__n_estimators': 1000, 'remove_corr__n_remove': 50, 'resample__sampling_strategy': 0.01}",,,,,,,30
8,117.8273418545723,3.133857429591443,1.0828028917312622,0.05234186517913985,10,10,500,10,0.0075,"{'clf__max_depth': 10, 'clf__min_samples_leaf': 10, 'clf__n_estimators': 500, 'remove_corr__n_remove': 10, 'resample__sampling_strategy': 0.0075}",0.5821808492311531,0.39371888747768546,0.5149905844248144,0.4588985686735369,0.48744722245179745,0.06952180097120116,16
9,124.60833823680878,3.9762566116056552,1.0345426797866821,0.08382545176235719,10,10,500,10,0.01,"{'clf__max_depth': 10, 'clf__min_samples_leaf': 10, 'clf__n_estimators': 500, 'remove_corr__n_remove': 10, 'resample__sampling_strategy': 0.01}",0.5571251405727449,0.46628021458423646,0.5238385609778351,0.47746032624323664,0.5061760605945133,0.036483025500319635,13
10,112.58933538198471,3.3943001648470803,1.0013959407806396,0.06900028460948295,10,10,500,50,0.0075,"{'clf__max_depth': 10, 'clf__min_samples_leaf': 10, 'clf__n_estimators': 500, 'remove_corr__n_remove': 50, 'resample__sampling_strategy': 0.0075}",0.6212688803926327,0.39013870579271986,0.5302858688837269,0.5223231570650358,0.5160041530335289,0.08241157511947479,11
