,seed,upsampler,downsampler,up_class_ratio,down_vs_up_ratio,final_class_ratio,train_mcc,val_mcc,train_bal_acc,val_bal_acc
0,1,RandomOverSampler,RandomUnderSampler,0.01,1,0.01,0.998971962047904,0.5356248807623227,0.9999949609473419,0.763371211572799
1,1,RandomOverSampler,RandomUnderSampler,0.01,1.25,0.0125,0.9324248369030768,0.4935860986474211,0.9996321443312258,0.7672207877226324
2,1,RandomOverSampler,RandomUnderSampler,0.01,1.5,0.015,0.884892827816121,0.5134795235540451,0.9993247585640151,0.7997316094964341
3,1,RandomOverSampler,RandomUnderSampler,0.01,1.75,0.0175,0.8338043254389872,0.45268740649326045,0.9989317073780171,0.774515309173748
4,1,RandomOverSampler,RandomUnderSampler,0.01,2,0.02,0.8273655069734197,0.45696459763633984,0.9988762767830449,0.7743230926742497
5,1,RandomOverSampler,RandomUnderSampler,0.05,1,0.05,1.0,0.5174014663184179,1.0,0.7592905907919743
6,1,RandomOverSampler,RandomUnderSampler,0.05,1.25,0.0625,0.931951650167116,0.46950533681763895,0.9996271042628345,0.7587665272803807
7,1,RandomOverSampler,RandomUnderSampler,0.05,1.5,0.07500000000000001,0.8951885476105881,0.4450831494552066,0.9993902657407039,0.7545448059149964
8,1,RandomOverSampler,RandomUnderSampler,0.05,1.75,0.08750000000000001,0.8505734793711289,0.4763209552300737,0.9990677648469856,0.7909494611374606
9,1,RandomOverSampler,RandomUnderSampler,0.05,2,0.1,0.8285570409527704,0.41898127435571686,0.9988863551422943,0.7617936243692336
10,1,RandomOverSampler,RandomUnderSampler,0.1,1,0.1,1.0,0.5246647733375481,1.0,0.7755688531773143
11,1,RandomOverSampler,RandomUnderSampler,0.1,1.25,0.125,0.9394564577866902,0.48591422965133174,0.9996724582760903,0.7670138147278721
12,1,RandomOverSampler,RandomUnderSampler,0.1,1.5,0.15000000000000002,0.8978841979738379,0.45373351553494634,0.9994104247446028,0.7626711581289317
13,1,RandomOverSampler,RandomUnderSampler,0.1,1.75,0.17500000000000002,0.8543328014307147,0.44726463697537244,0.9991030394852588,0.7663432580252532
14,1,RandomOverSampler,RandomUnderSampler,0.1,2,0.2,0.8320658818732631,0.44140744333446474,0.9989165897121761,0.7744145596027897
15,1,RandomOverSampler,RandomUnderSampler,0.2,1,0.2,1.0,0.5153357428250098,1.0,0.7476185071449285
16,1,RandomOverSampler,RandomUnderSampler,0.2,1.25,0.25,0.9294805047199853,0.4554137069950241,0.9996119883745267,0.7468269989594777
17,1,RandomOverSampler,RandomUnderSampler,0.2,1.5,0.30000000000000004,0.895342367016085,0.45526209611825436,0.9993953065708953,0.7508068498577498
18,1,RandomOverSampler,RandomUnderSampler,0.2,1.75,0.35000000000000003,0.8507611988267592,0.45918012067768166,0.9990677645930524,0.7670045036492217
19,1,RandomOverSampler,RandomUnderSampler,0.2,2,0.4,0.8125949247283893,0.42727213460493213,0.9987351812771514,0.7702533180411402
20,1,RandomOverSampler,RandomUnderSampler,0.4,1,0.4,1.0,0.4722080955591431,1.0,0.7264572452716843
21,1,RandomOverSampler,RandomUnderSampler,0.4,1.25,0.5,0.9261789771718437,0.43180811685191056,0.9995918331796275,0.7385797074496672
22,1,RandomOverSampler,RandomUnderSampler,0.4,1.5,0.6000000000000001,0.8883613244106552,0.4536066087143607,0.9993449162982475,0.7467866885690653
23,1,RandomOverSampler,RandomUnderSampler,0.4,1.75,0.7000000000000001,0.842565908087151,0.4202411604072047,0.9989921788031808,0.7539952006952089
24,1,RandomOverSampler,RandomUnderSampler,0.4,2,0.8,0.806767050981566,0.4199160392550141,0.9986898323425617,0.7661726810110396
25,1,SMOTE,RandomUnderSampler,0.01,1,0.01,0.9979439240958078,0.5431184279236725,0.9999899218946838,0.7800836137348951
26,1,SMOTE,RandomUnderSampler,0.01,1.25,0.0125,0.9331883127517079,0.44281358391472836,0.999637183383884,0.742079715574305
27,1,SMOTE,RandomUnderSampler,0.01,1.5,0.015,0.8935662963081619,0.47088688267773915,0.9993852279577122,0.7472153991784853
28,1,SMOTE,RandomUnderSampler,0.01,1.75,0.0175,0.8387166826891246,0.47069150550322914,0.9989770603755399,0.7833230926742498
29,1,SMOTE,RandomUnderSampler,0.01,2,0.02,0.8151274325261569,0.4652784512139271,0.9987704556614915,0.7866820164636035
