,seed,upsampler,downsampler,up_class_ratio,down_vs_up_ratio,final_class_ratio,train_mcc,val_mcc,train_bal_acc,val_bal_acc
0,3,RandomOverSampler,RandomUnderSampler,0.01,1,0.01,0.807994476926184,0.5027769744938204,0.9987032683657364,0.7546172768343679
1,3,RandomOverSampler,RandomUnderSampler,0.01,1.25,0.0125,0.7820711836856211,0.5014202351719723,0.9984546702483149,0.7584344973908779
2,3,RandomOverSampler,RandomUnderSampler,0.01,1.5,0.015,0.7709566909434925,0.5008537863768731,0.9983404511119056,0.7748794451297478
3,3,RandomOverSampler,RandomUnderSampler,0.01,1.75,0.0175,0.7588736775655599,0.5035478889625922,0.9982060735754481,0.7790057957183625
4,3,RandomOverSampler,RandomUnderSampler,0.01,2,0.02,0.734915764667382,0.4828745483827757,0.9979171629915943,0.7787236091739842
5,3,RandomOverSampler,RandomUnderSampler,0.05,1,0.05,0.7486763025638281,0.4813871020628748,0.9980985777578674,0.7704305756674621
6,3,RandomOverSampler,RandomUnderSampler,0.05,1.25,0.0625,0.7358323619413594,0.47959422283118025,0.9979507658624677,0.7784682393366853
7,3,RandomOverSampler,RandomUnderSampler,0.05,1.5,0.07500000000000001,0.7358192061255593,0.4825685409859092,0.9979507636956355,0.7867209535149073
8,3,RandomOverSampler,RandomUnderSampler,0.05,1.75,0.08750000000000001,0.721203882536462,0.4844283985315523,0.9977693554298588,0.7947989300119342
9,3,RandomOverSampler,RandomUnderSampler,0.05,2,0.1,0.7136630382252894,0.47422584816549374,0.9976685713746689,0.7946376722002229
10,3,RandomOverSampler,RandomUnderSampler,0.1,1,0.1,0.7543486793091038,0.4844214164008268,0.9981590489854864,0.7704910367835474
11,3,RandomOverSampler,RandomUnderSampler,0.1,1.25,0.125,0.7403874210120756,0.48211600322443177,0.998004517021506,0.7744225014026855
12,3,RandomOverSampler,RandomUnderSampler,0.1,1.5,0.15000000000000002,0.7365048376064096,0.47336397530100754,0.9979574819585226,0.7743822015758743
13,3,RandomOverSampler,RandomUnderSampler,0.1,1.75,0.17500000000000002,0.7313378216256455,0.4773353336930319,0.9978970136200132,0.7865260642951826
14,3,RandomOverSampler,RandomUnderSampler,0.1,2,0.2,0.7302227850256389,0.4682394743870844,0.9978835752885454,0.7824534966531108
15,3,RandomOverSampler,RandomUnderSampler,0.2,1,0.2,0.7681302406208246,0.4829206529759932,0.9983068572694993,0.7624332183255462
16,3,RandomOverSampler,RandomUnderSampler,0.2,1.25,0.25,0.748403153474855,0.4848770292524571,0.9980985766744512,0.7745031433095338
17,3,RandomOverSampler,RandomUnderSampler,0.2,1.5,0.30000000000000004,0.7380968795833747,0.4808495580145503,0.9979776374694613,0.7745031465597819
18,3,RandomOverSampler,RandomUnderSampler,0.2,1.75,0.35000000000000003,0.7388176131521423,0.5001151877941198,0.9979843553712099,0.7909749305072201
19,3,RandomOverSampler,RandomUnderSampler,0.2,2,0.4,0.7293638637361975,0.49346930864346167,0.9978701362348005,0.7910287199542594
20,3,SMOTE,RandomUnderSampler,0.01,1,0.01,0.7738962323227696,0.49751692313342755,0.9983740456765893,0.7627288944901527
21,3,SMOTE,RandomUnderSampler,0.01,1.25,0.0125,0.7540742779819335,0.4936957527745087,0.9981590439295449,0.7705918334791734
22,3,SMOTE,RandomUnderSampler,0.01,1.5,0.015,0.7373022955046321,0.46998320560416756,0.9979641984157164,0.770309640434299
23,3,SMOTE,RandomUnderSampler,0.01,1.75,0.0175,0.7259979878027769,0.4596391272996074,0.9978163825477913,0.7701887019508875
24,3,SMOTE,RandomUnderSampler,0.01,2,0.02,0.7157377828642154,0.46018583255404477,0.9976887265244689,0.7740798667432145
25,3,SMOTE,RandomUnderSampler,0.05,1,0.05,0.6968303699443887,0.4791420610092968,0.9920262539847637,0.7986497819764575
26,3,SMOTE,RandomUnderSampler,0.05,1.25,0.0625,0.6767393502784904,0.4706054375420975,0.9890304067314762,0.802635036042635
27,3,SMOTE,RandomUnderSampler,0.05,1.5,0.07500000000000001,0.6581462478801963,0.4528556247209325,0.9887414968698998,0.8063985711810157
28,3,SMOTE,RandomUnderSampler,0.05,1.75,0.08750000000000001,0.6505066531207571,0.44911437575854024,0.9872451045795179,0.8063381165654268
29,3,SMOTE,RandomUnderSampler,0.05,2,0.1,0.6299057759093227,0.4310761106144739,0.9855269976962846,0.8098866109455531
30,3,SMOTE,RandomUnderSampler,0.1,1,0.1,0.6833532111715852,0.47406856067313996,0.9904541348131353,0.806761393131746
31,3,SMOTE,RandomUnderSampler,0.1,1.25,0.125,0.6675559492594517,0.4685372558905306,0.9875120358297766,0.8146579635287801
32,3,SMOTE,RandomUnderSampler,0.1,1.5,0.15000000000000002,0.6517745298495657,0.46469023248396285,0.9872567187271907,0.8145974959121985
33,3,SMOTE,RandomUnderSampler,0.1,1.75,0.17500000000000002,0.6397390942460569,0.4495152529011985,0.9857016840877875,0.8183207019715347
34,3,SMOTE,RandomUnderSampler,0.1,2,0.2,0.625325832815257,0.4476932847487783,0.9854329286537337,0.8223866011948087
35,3,SMOTE,RandomUnderSampler,0.2,1,0.2,0.677397369714849,0.4560952121619837,0.9903600758824675,0.806358238851723
36,3,SMOTE,RandomUnderSampler,0.2,1.25,0.25,0.6566069021331692,0.4597427575091492,0.9900308528321815,0.8145706239509006
37,3,SMOTE,RandomUnderSampler,0.2,1.5,0.30000000000000004,0.6490128457013409,0.44002480252982534,0.9899099110992209,0.810141935279378
38,3,SMOTE,RandomUnderSampler,0.2,1.75,0.35000000000000003,0.645116285402781,0.44148471733803063,0.9898427230532696,0.8181594506603196
39,3,SMOTE,RandomUnderSampler,0.2,2,0.4,0.6236541832906177,0.4527221359516631,0.9880995608017864,0.830518347637386
41,3,ADASYN,RandomUnderSampler,0.01,1.25,0.0125,0.7233389135632099,0.4720337674798064,0.9977693489293624,0.7741000410334812
42,3,ADASYN,RandomUnderSampler,0.01,1.5,0.015,0.7199162756130233,0.4688220446525436,0.9977155970480466,0.7740395669164033
43,3,ADASYN,RandomUnderSampler,0.01,1.75,0.0175,0.7071716013808542,0.4580403421994898,0.9975610661674825,0.7780046629435547
44,3,ADASYN,RandomUnderSampler,0.01,2,0.02,0.6903641230810896,0.44483818698458083,0.9959388387873249,0.7776888579921558
46,3,ADASYN,RandomUnderSampler,0.05,1.25,0.0625,0.6187608244506406,0.41972078943859176,0.9934095906631885,0.8053772641159413
47,3,ADASYN,RandomUnderSampler,0.05,1.5,0.07500000000000001,0.6103071780290965,0.3999820136581238,0.9918948706570496,0.8049741325876555
48,3,ADASYN,RandomUnderSampler,0.05,1.75,0.08750000000000001,0.5952679789944988,0.3943391945800315,0.9901901941602329,0.8087981255918733
49,3,ADASYN,RandomUnderSampler,0.05,2,0.1,0.5836836386306854,0.39383376873430265,0.988579585622551,0.8128236989863509
51,3,ADASYN,RandomUnderSampler,0.1,1.25,0.125,0.5916887700409654,0.4019579791822517,0.9914428918018912,0.8129244859312325
52,3,ADASYN,RandomUnderSampler,0.1,1.5,0.15000000000000002,0.5807581695285862,0.4049473142666392,0.9911942926010534,0.825182612214658
53,3,ADASYN,RandomUnderSampler,0.1,1.75,0.17500000000000002,0.5680221013390534,0.3974736014510183,0.989538477878986,0.8249205577073206
54,3,ADASYN,RandomUnderSampler,0.1,2,0.2,0.5592190902112874,0.39143638006424936,0.9879547387814658,0.8247391581078238
55,3,ADASYN,RandomUnderSampler,0.2,1,0.2,0.6100273370983079,0.40737512358604666,0.9932349013825761,0.8131663791492959
56,3,ADASYN,RandomUnderSampler,0.2,1.25,0.25,0.5955336629874336,0.407072069860367,0.9929123969563158,0.8253842056059103
57,3,ADASYN,RandomUnderSampler,0.2,1.5,0.30000000000000004,0.5867799963009042,0.39267265170510696,0.9913402741733006,0.8168492918823173
58,3,ADASYN,RandomUnderSampler,0.2,1.75,0.35000000000000003,0.577282793299825,0.39896757308105313,0.9897583635932397,0.8290872536262206
59,3,ADASYN,RandomUnderSampler,0.2,2,0.4,0.5668146857492711,0.38775234348111864,0.9895115947155544,0.828764744503294
60,3,SVMSMOTE,RandomUnderSampler,0.01,1,0.01,0.7923404091623251,0.5094716790542855,0.9985554568314755,0.7710084318759505
61,3,SVMSMOTE,RandomUnderSampler,0.01,1.25,0.0125,0.7701488244762966,0.5014485804408578,0.9983337346547119,0.7789856344290884
62,3,SVMSMOTE,RandomUnderSampler,0.01,1.5,0.015,0.7569375781206837,0.48759809665527226,0.9981859202313413,0.7788445444071475
63,3,SVMSMOTE,RandomUnderSampler,0.01,1.75,0.0175,0.7428579837316172,0.49599341785387,0.998017949574755,0.7871577197014548
64,3,SVMSMOTE,RandomUnderSampler,0.01,2,0.02,0.733580153994071,0.4786401317433506,0.99791044942351,0.7869359975234098
65,3,SVMSMOTE,RandomUnderSampler,0.05,1,0.05,0.7105125142029158,0.5101081216178414,0.9527286743390769,0.7994628434827226
66,3,SVMSMOTE,RandomUnderSampler,0.05,1.25,0.0625,0.6778337293201809,0.5055245064638135,0.9414825256750716,0.8115663966244753
67,3,SVMSMOTE,RandomUnderSampler,0.05,1.5,0.07500000000000001,0.6559959114329191,0.48731146069110365,0.9371246604176117,0.8112842068298489
68,3,SVMSMOTE,RandomUnderSampler,0.05,1.75,0.08750000000000001,0.643960104958388,0.47958410191726464,0.9356099411337502,0.8152089835287002
69,3,SVMSMOTE,RandomUnderSampler,0.05,2,0.1,0.6225785451947163,0.46982398110123164,0.9339626674138098,0.8150275741784592
70,3,SVMSMOTE,RandomUnderSampler,0.1,1,0.1,0.6790538182907289,0.5101686215855478,0.9238263637886879,0.7994830015217484
71,3,SVMSMOTE,RandomUnderSampler,0.1,1.25,0.125,0.6555707314358505,0.4955387422620803,0.9194770456727126,0.8072787817236529
72,3,SVMSMOTE,RandomUnderSampler,0.1,1.5,0.15000000000000002,0.6296634615448299,0.4850091295978468,0.9164341655232737,0.8071578497407379
73,3,SVMSMOTE,RandomUnderSampler,0.1,1.75,0.17500000000000002,0.6193955999874449,0.4794083334306715,0.912239380093556,0.8111027974796077
74,3,SVMSMOTE,RandomUnderSampler,0.1,2,0.2,0.6036374603931941,0.46418165962774394,0.9106574702357724,0.8149671130623739
75,3,SVMSMOTE,RandomUnderSampler,0.2,1,0.2,0.6746730484838503,0.5063517688475283,0.9142848869266964,0.7912101423054931
76,3,SVMSMOTE,RandomUnderSampler,0.2,1.25,0.25,0.6511936242153424,0.5040422527977043,0.9126559470618709,0.8074400427856123
77,3,SVMSMOTE,RandomUnderSampler,0.2,1.5,0.30000000000000004,0.6379734975373444,0.49061929237919116,0.912487976766423,0.8072586334353713
78,3,SVMSMOTE,RandomUnderSampler,0.2,1.75,0.35000000000000003,0.6238565892427238,0.4829071107589701,0.9068774265071584,0.8112035681732487
79,3,SVMSMOTE,RandomUnderSampler,0.2,2,0.4,0.6105858669803949,0.47800405815075975,0.9080342240608361,0.8152089900291966
80,3,no_resampling,no_resampling,NA,NA,NA,0.8197593747851131,0.5067909926975921,0.9988107714060909,0.7424734108648114
