,seed,upsampler,downsampler,up_class_ratio,down_vs_up_ratio,final_class_ratio,train_mcc,val_mcc,train_bal_acc,val_bal_acc
0,2,RandomOverSampler,RandomUnderSampler,0.01,1,0.01,0.801883977368671,0.505873248414831,0.9986495186512527,0.7626414801355963
1,2,RandomOverSampler,RandomUnderSampler,0.01,1.25,0.0125,0.788652256151035,0.5068648261405069,0.9985218619056532,0.7708337136962442
2,2,RandomOverSampler,RandomUnderSampler,0.01,1.5,0.015,0.7767638825792702,0.5045514264023168,0.9984009227006632,0.7790461117964144
3,2,RandomOverSampler,RandomUnderSampler,0.01,1.75,0.0175,0.7653221822147964,0.4974258394359628,0.9982799824122572,0.7830313626123437
4,2,RandomOverSampler,RandomUnderSampler,0.01,2,0.02,0.7420458918991675,0.5023396023633159,0.9952890267100912,0.787198022778514
5,2,RandomOverSampler,RandomUnderSampler,0.05,1,0.05,0.7769307317065491,0.49977728846829106,0.9984076406024116,0.7667812975927022
6,2,RandomOverSampler,RandomUnderSampler,0.05,1.25,0.0625,0.7649358462730902,0.4821727863313749,0.9982732612602607,0.7626281010447746
7,2,RandomOverSampler,RandomUnderSampler,0.05,1.5,0.07500000000000001,0.7490660220872669,0.48835048517169244,0.998098573424203,0.7749870045223374
8,2,RandomOverSampler,RandomUnderSampler,0.05,1.75,0.08750000000000001,0.7353846051147709,0.48870612674100766,0.9979238823378974,0.7869964618897434
9,2,RandomOverSampler,RandomUnderSampler,0.05,2,0.1,0.7176550138301158,0.4848858054989435,0.9977021612445498,0.7829641973247308
10,2,RandomOverSampler,RandomUnderSampler,0.1,1,0.1,0.7736729186684845,0.4913352068545601,0.9983740463988666,0.7625743180982316
11,2,RandomOverSampler,RandomUnderSampler,0.1,1.25,0.125,0.7684974522541484,0.48843451425532103,0.9983135748101089,0.7666603558590427
12,2,RandomOverSampler,RandomUnderSampler,0.1,1.5,0.15000000000000002,0.747392790853728,0.49343747469062105,0.9980851372595676,0.7790192560863572
13,2,RandomOverSampler,RandomUnderSampler,0.1,1.75,0.17500000000000002,0.7428203200392699,0.4953114626031849,0.9980246663930873,0.7831254551364423
14,2,RandomOverSampler,RandomUnderSampler,0.1,2,0.2,0.7278786981379651,0.4882797651477274,0.9978365376975913,0.7870166199287691
15,2,RandomOverSampler,RandomUnderSampler,0.2,1,0.2,0.7683561388063003,0.4908098613738686,0.9983135758935251,0.7625541633094538
