,remove_corr_n,scaler,fs_model,fs_m,fs_univ_k,pca_n,tot_n_features,train_mcc,val_mcc,train_balanced_acc,val_balanced_acc
238,250,RobustScaler,LinearSVC,4000,50,10,4014,1.0,0.43654327591387443,1.0,0.7330258597707278
239,250,RobustScaler,LinearSVC,4000,50,25,4029,1.0,0.45976237843171996,1.0,0.7413383097840576
240,250,RobustScaler,LinearSVC,4000,75,0,4008,1.0,0.45379014733627193,1.0,0.7606835954856483
241,250,RobustScaler,LinearSVC,4000,75,10,4018,1.0,0.4435905475337548,1.0,0.7489278414644983
242,250,RobustScaler,LinearSVC,4000,75,25,4033,1.0,0.424199870386186,1.0,0.7246925264373945
243,250,RobustScaler,na,na,na,0,5158,1.0,0.4548736297841095,1.0,0.7569923575935306
244,500,RobustScaler,LinearSVC,10,10,0,15,0.17503629617656752,0.14921419787215362,0.8298334998334999,0.7797909446369857
245,500,RobustScaler,LinearSVC,10,10,10,25,0.1917392205913057,0.16897321830318893,0.8527885498340044,0.8092741935483871
246,500,RobustScaler,LinearSVC,10,10,25,40,0.27597423643541347,0.2461334788356797,0.907239578603215,0.8650075535412779
247,500,RobustScaler,LinearSVC,10,20,0,20,0.1782160681817361,0.15563953589127436,0.845567008748827,0.8018601706211677
