,i,fold,scaler,clip,u1,d1,u2,d2,batch,epoch,patience,lr,precision,recall,auc,mcc
0,0,0,StandardScaler,None,128,0.25,128,0.25,4096,75,20,0.001,0.6086956,0.46666667,0.41541386,0.5554054
1,1,0,StandardScaler,None,128,0.25,128,0.25,4096,75,40,0.001,0.65,0.43333334,0.39533696,0.5355508
2,2,0,StandardScaler,None,128,0.25,128,0.25,8192,75,20,0.001,0.73333335,0.36666667,0.48789972,0.51700807
3,3,0,StandardScaler,None,128,0.25,128,0.25,8192,75,40,0.001,0.6315789,0.4,0.41362894,0.5007626
4,4,0,StandardScaler,None,128,0.25,128,0.4,4096,75,20,0.001,0.6315789,0.4,0.43816268,0.51755667
5,5,0,StandardScaler,None,128,0.25,128,0.4,4096,75,40,0.001,0.6315789,0.4,0.345214,0.51755667
6,6,0,StandardScaler,None,128,0.25,128,0.4,8192,75,20,0.001,0.68421054,0.43333334,0.4616391,0.5428133
7,7,0,StandardScaler,None,128,0.25,128,0.4,8192,75,40,0.001,0.65,0.43333334,0.40233552,0.5289142
8,8,0,StandardScaler,None,128,0.25,512,0.25,4096,75,20,0.001,0.59090906,0.43333334,0.36360532,0.5154535
9,9,0,StandardScaler,None,128,0.25,512,0.25,4096,75,40,0.001,0.6666667,0.46666667,0.3661767,0.5732264
10,10,0,StandardScaler,None,128,0.25,512,0.25,8192,75,20,0.001,0.68421054,0.43333334,0.41857877,0.5428133
11,11,0,StandardScaler,None,128,0.25,512,0.25,8192,75,40,0.001,0.7777778,0.46666667,0.42691392,0.60105026
12,12,0,StandardScaler,None,128,0.25,512,0.4,4096,75,20,0.001,0.6315789,0.4,0.35623673,0.51038706
13,13,0,StandardScaler,None,128,0.25,512,0.4,4096,75,40,0.001,0.7647059,0.43333334,0.34017205,0.57965887
14,14,0,StandardScaler,None,128,0.25,512,0.4,8192,75,20,0.001,0.65,0.43333334,0.4337421,0.5289142
15,15,0,StandardScaler,None,128,0.25,512,0.4,8192,75,40,0.001,0.7,0.46666667,0.40306675,0.5699035
16,16,0,StandardScaler,None,128,0.4,128,0.25,4096,75,20,0.001,0.7222222,0.43333334,0.42512527,0.5654483
