,i,fold,scaler,clip,u1,d1,u2,d2,batch,epoch,patience,lr,precision,recall,auc,mcc
0,0,0,StandardScaler,5,128,0.25,128,0.25,4096,75,20,0.001,0.61904764,0.43333334,0.421145,0.5390806
1,1,0,StandardScaler,5,128,0.25,128,0.25,4096,75,40,0.001,0.7058824,0.4,0.33403012,0.54024523
2,2,0,StandardScaler,5,128,0.25,128,0.25,8192,75,20,0.001,0.7647059,0.43333334,0.39535412,0.57419145
3,3,0,StandardScaler,5,128,0.25,128,0.25,8192,75,40,0.001,0.7058824,0.4,0.355247,0.5297431
4,4,0,StandardScaler,5,128,0.25,128,0.4,4096,75,20,0.001,0.6111111,0.36666667,0.40204433,0.4840706
5,5,0,StandardScaler,5,128,0.25,128,0.4,4096,75,40,0.001,0.64705884,0.36666667,0.3840047,0.49456662
6,6,0,StandardScaler,5,128,0.25,128,0.4,8192,75,20,0.001,0.6666667,0.4,0.4258017,0.5146512
7,7,0,StandardScaler,5,128,0.25,128,0.4,8192,75,40,0.001,0.6923077,0.3,0.3730053,0.45413095
8,8,0,StandardScaler,5,128,0.25,512,0.25,4096,75,20,0.001,0.7222222,0.43333334,0.3708785,0.5654483
9,9,0,StandardScaler,5,128,0.25,512,0.25,4096,75,40,0.001,0.73333335,0.36666667,0.33228946,0.5211628
10,10,0,StandardScaler,5,128,0.25,512,0.25,8192,75,20,0.001,0.57894737,0.36666667,0.39044356,0.45871183
11,11,0,StandardScaler,5,128,0.25,512,0.25,8192,75,40,0.001,0.73333335,0.36666667,0.40150273,0.51700807
12,12,0,StandardScaler,5,128,0.25,512,0.4,4096,75,20,0.001,0.75,0.4,0.36498252,0.5546489
13,13,0,StandardScaler,5,128,0.25,512,0.4,4096,75,40,0.001,0.68421054,0.43333334,0.38918978,0.5532164
14,14,0,StandardScaler,5,128,0.25,512,0.4,8192,75,20,0.001,0.7058824,0.4,0.43209636,0.5297431
15,15,0,StandardScaler,5,128,0.25,512,0.4,8192,75,40,0.001,0.6315789,0.4,0.29349768,0.5007626
16,16,0,StandardScaler,5,128,0.4,128,0.25,4096,75,20,0.001,0.68421054,0.43333334,0.46581388,0.55997044
17,17,0,StandardScaler,5,128,0.4,128,0.25,4096,75,40,0.001,0.61904764,0.43333334,0.36432135,0.53311914
18,18,0,StandardScaler,5,128,0.4,128,0.25,8192,75,20,0.001,0.6666667,0.4,0.45703012,0.5146512
