,i,fold,scaler,clip,u1,d1,u2,d2,batch,epoch,patience,lr,precision,recall,auc,mcc
0,0,0,RobustScaler,None,128,0.25,128,0.25,4096,75,20,0.001,0.71428573,0.33333334,0.33662415,0.49706566
1,1,0,RobustScaler,None,128,0.25,128,0.25,4096,75,40,0.001,0.65,0.43333334,0.37850106,0.5413117
2,2,0,RobustScaler,None,128,0.25,128,0.25,8192,75,20,0.001,0.7692308,0.33333334,0.3699262,0.50494325
3,3,0,RobustScaler,None,128,0.25,128,0.25,8192,75,40,0.001,0.72727275,0.26666668,0.34032425,0.4389149
4,4,0,RobustScaler,None,128,0.25,128,0.4,4096,75,20,0.001,0.6666667,0.33333334,0.36385515,0.48938948
5,5,0,RobustScaler,None,128,0.25,128,0.4,4096,75,40,0.001,0.6111111,0.36666667,0.33139962,0.48316598
6,6,0,RobustScaler,None,128,0.25,128,0.4,8192,75,20,0.001,0.78571427,0.36666667,0.38762397,0.53534687
7,7,0,RobustScaler,None,128,0.25,128,0.4,8192,75,40,0.001,0.6,0.3,0.29585257,0.42238545
8,8,0,RobustScaler,None,128,0.25,512,0.25,4096,75,20,0.001,0.6875,0.36666667,0.38931924,0.5128495
9,9,0,RobustScaler,None,128,0.25,512,0.25,4096,75,40,0.001,0.6363636,0.46666667,0.34506458,0.56380373
10,10,0,RobustScaler,None,128,0.25,512,0.25,8192,75,20,0.001,0.6315789,0.4,0.34019762,0.5007626
11,11,0,RobustScaler,None,128,0.25,512,0.25,8192,75,40,0.001,0.6,0.3,0.2976719,0.42238545
12,12,0,RobustScaler,None,128,0.25,512,0.4,4096,75,20,0.001,0.5555556,0.33333334,0.3217974,0.44375232
13,13,0,RobustScaler,None,128,0.25,512,0.4,4096,75,40,0.001,0.57894737,0.36666667,0.3237706,0.48189697
14,14,0,RobustScaler,None,128,0.25,512,0.4,8192,75,20,0.001,0.53333336,0.26666668,0.40352136,0.37507418
15,15,0,RobustScaler,None,128,0.25,512,0.4,8192,75,40,0.001,0.5625,0.3,0.35588557,0.40878528
16,16,0,RobustScaler,None,128,0.4,128,0.25,4096,75,20,0.001,0.7692308,0.33333334,0.4038068,0.5159053
17,17,0,RobustScaler,None,128,0.4,128,0.25,4096,75,40,0.001,0.65,0.43333334,0.3303787,0.54824126
18,18,0,RobustScaler,None,128,0.4,128,0.25,8192,75,20,0.001,0.57894737,0.36666667,0.32767648,0.45871183
19,19,0,RobustScaler,None,128,0.4,128,0.25,8192,75,40,0.001,0.5882353,0.33333334,0.3608844,0.4408463
20,20,0,RobustScaler,None,128,0.4,128,0.4,4096,75,20,0.001,0.5,0.36666667,0.36207575,0.46147963
21,21,0,RobustScaler,None,128,0.4,128,0.4,4096,75,40,0.001,0.71428573,0.33333334,0.34203607,0.49706566
