,i,fold,scaler,clip,u1,d1,u2,d2,batch,epoch,patience,lr,precision,recall,auc,mcc
46,46,2,StandardScaler,5,512,0.4,na,na,4096,100,20,0.001,0.4375,0.22580644,0.34594905,0.37530202
47,47,2,StandardScaler,5,512,0.4,na,na,4096,100,30,0.001,0.47368422,0.29032257,0.3424043,0.43476808
48,48,3,StandardScaler,3,256,0.4,na,na,4096,75,20,0.001,0.8888889,0.53333336,0.59675044,0.6860279
49,49,3,StandardScaler,3,256,0.4,na,na,4096,75,30,0.001,0.64705884,0.36666667,0.53365666,0.52266276
50,50,3,StandardScaler,3,256,0.4,na,na,4096,100,20,0.001,0.6666667,0.46666667,0.5551202,0.57824755
51,51,3,StandardScaler,3,256,0.4,na,na,4096,100,30,0.001,0.8666667,0.43333334,0.59891003,0.61166024
52,52,3,StandardScaler,3,512,0.4,na,na,4096,75,20,0.001,0.6666667,0.2,0.53574955,0.38531256
53,53,3,StandardScaler,3,512,0.4,na,na,4096,75,30,0.001,0.8,0.4,0.5262859,0.53021455
54,54,3,StandardScaler,3,512,0.4,na,na,4096,100,20,0.001,0.65,0.43333334,0.54626536,0.5512976
55,55,3,StandardScaler,3,512,0.4,na,na,4096,100,30,0.001,0.6363636,0.23333333,0.5133575,0.40298432
56,56,3,StandardScaler,5,256,0.4,na,na,4096,75,20,0.001,0.7,0.46666667,0.5124039,0.56429064
57,57,3,StandardScaler,5,256,0.4,na,na,4096,75,30,0.001,0.8125,0.43333334,0.5738097,0.5983174
58,58,3,StandardScaler,5,256,0.4,na,na,4096,100,20,0.001,0.7222222,0.43333334,0.53825074,0.57111144
59,59,3,StandardScaler,5,256,0.4,na,na,4096,100,30,0.001,0.73333335,0.36666667,0.5573542,0.5246887
60,60,3,StandardScaler,5,512,0.4,na,na,4096,75,20,0.001,0.7368421,0.46666667,0.5425119,0.6053281
61,61,3,StandardScaler,5,512,0.4,na,na,4096,75,30,0.001,0.6666667,0.4,0.5048197,0.5004018
62,62,3,StandardScaler,5,512,0.4,na,na,4096,100,20,0.001,0.7777778,0.46666667,0.5655156,0.58641523
63,63,3,StandardScaler,5,512,0.4,na,na,4096,100,30,0.001,0.7058824,0.4,0.48240036,0.5546018
