,i,fold,scaler,clip,u1,d1,u2,d2,batch,epoch,patience,lr,precision,recall,auc,mcc
0,0,0,RobustScaler,5,128,0.25,128,0.25,4096,75,20,0.001,0.7222222,0.43333334,0.42442653,0.5654483
1,1,0,RobustScaler,5,128,0.25,128,0.25,4096,75,40,0.001,0.6315789,0.4,0.41935092,0.51755667
2,2,0,RobustScaler,5,128,0.25,128,0.25,8192,75,20,0.001,0.73333335,0.36666667,0.4230585,0.51700807
3,3,0,RobustScaler,5,128,0.25,128,0.25,8192,75,40,0.001,0.68421054,0.43333334,0.4541145,0.5428133
4,4,0,RobustScaler,5,128,0.25,128,0.4,4096,75,20,0.001,0.6,0.4,0.42334267,0.49963307
5,5,0,RobustScaler,5,128,0.25,128,0.4,4096,75,40,0.001,0.6666667,0.4,0.34922102,0.5280527
6,6,0,RobustScaler,5,128,0.25,128,0.4,8192,75,20,0.001,0.6666667,0.26666668,0.46981925,0.42000818
7,7,0,RobustScaler,5,128,0.25,128,0.4,8192,75,40,0.001,0.68421054,0.43333334,0.46947923,0.5428133
8,8,0,RobustScaler,5,128,0.25,512,0.25,4096,75,20,0.001,0.7058824,0.4,0.3858328,0.54024523
9,9,0,RobustScaler,5,128,0.25,512,0.25,4096,75,40,0.001,0.6666667,0.46666667,0.41644397,0.5659293
10,10,0,RobustScaler,5,128,0.25,512,0.25,8192,75,20,0.001,0.6666667,0.4,0.399993,0.5146512
11,11,0,RobustScaler,5,128,0.25,512,0.25,8192,75,40,0.001,0.6875,0.36666667,0.3641209,0.50041056
12,12,0,RobustScaler,5,128,0.25,512,0.4,4096,75,20,0.001,0.7368421,0.46666667,0.47196192,0.58887607
13,13,0,RobustScaler,5,128,0.25,512,0.4,4096,75,40,0.001,0.73333335,0.36666667,0.37015772,0.52734745
14,14,0,RobustScaler,5,128,0.25,512,0.4,8192,75,20,0.001,0.7222222,0.43333334,0.41629425,0.5578507
15,15,0,RobustScaler,5,128,0.25,512,0.4,8192,75,40,0.001,0.7647059,0.43333334,0.41143987,0.57419145
16,16,0,RobustScaler,5,128,0.4,128,0.25,4096,75,20,0.001,0.7368421,0.46666667,0.4981498,0.5961329
