,scaler,fs_model,fs_m,fs_univ_k,pca_n,tot_n_features,train_mcc,val_mcc,train_balanced_acc,val_balanced_acc
51,StandardScaler,LinearSVC,2000,72,0,2026,1.0,0.4442907687630974,1.0,0.7500353466486506
52,StandardScaler,LinearSVC,2000,72,10,2036,1.0,0.446703325756761,1.0,0.7462340272722735
53,StandardScaler,LinearSVC,2000,72,100,2126,1.0,0.48225146468355823,1.0,0.7585694026110538
54,StandardScaler,LinearSVC,2000,380,0,2188,1.0,0.47580798729861445,1.0,0.7628998434911035
55,StandardScaler,LinearSVC,2000,380,10,2198,1.0,0.4874778548839979,1.0,0.7709282987756563
56,StandardScaler,LinearSVC,2000,380,100,2288,1.0,0.47753340705012026,1.0,0.7667624728056888
57,StandardScaler,LinearSVC,2000,788,0,2431,1.0,0.46210043948753216,1.0,0.7544447334158372
58,StandardScaler,LinearSVC,2000,788,10,2441,1.0,0.468695922478602,1.0,0.7584694604259762
59,StandardScaler,LinearSVC,2000,788,100,2531,1.0,0.4734628780268187,1.0,0.7546471423138742
60,StandardScaler,LinearSVC,4000,9,0,4000,1.0,0.4099038326425964,1.0,0.7335736207212555
61,StandardScaler,LinearSVC,4000,9,10,4010,1.0,0.40511675165188366,1.0,0.7494306542335591
62,StandardScaler,LinearSVC,4000,9,100,4100,1.0,0.39944008450319396,1.0,0.7413820506611178
63,StandardScaler,LinearSVC,4000,72,0,4005,1.0,0.41409031862630435,1.0,0.7537191098310808
64,StandardScaler,LinearSVC,4000,72,10,4015,1.0,0.39800535125442527,1.0,0.7252201195977587
65,StandardScaler,LinearSVC,4000,72,100,4105,1.0,0.41706495143740846,1.0,0.7501403573917664
66,StandardScaler,LinearSVC,4000,380,0,4070,1.0,0.39417529500958165,1.0,0.7413618950598764
67,StandardScaler,LinearSVC,4000,380,10,4080,1.0,0.40647459064600905,1.0,0.7417054102310949
68,StandardScaler,LinearSVC,4000,380,100,4170,1.0,0.3741779511367662,1.0,0.7331923578799855
69,StandardScaler,LinearSVC,4000,788,0,4180,1.0,0.43096034230904245,1.0,0.7621129002170014
70,StandardScaler,LinearSVC,4000,788,10,4190,1.0,0.4141154929481226,1.0,0.7377814539138107
71,StandardScaler,LinearSVC,4000,788,100,4280,1.0,0.4039595054877185,1.0,0.7453244348683423
