,seed,fold,upsampler,up_ratio,cw_0,precision,recall,auc,mcc
60,2,3,SVMSMOTE,0.2,0,0.6666667,0.46666667,0.59908617,0.5660306
61,2,3,SVMSMOTE,0.2,0.1,0.42857143,0.6,0.5818111,0.5559441
62,2,3,SVMSMOTE,0.2,0.2,0.5,0.5,0.5935846,0.5478221
63,2,3,SVMSMOTE,0.2,0.3,0.65384614,0.56666666,0.6399916,0.638482
64,3,0,SVMSMOTE,0.1,0,0.5416667,0.43333334,0.3882374,0.49374846
65,3,0,SVMSMOTE,0.1,0.1,0.4864865,0.6,0.47120214,0.56333613
66,3,0,SVMSMOTE,0.1,0.2,0.51724136,0.5,0.4163455,0.5206003
67,3,0,SVMSMOTE,0.1,0.3,0.5294118,0.6,0.46354842,0.57913226
68,3,0,SVMSMOTE,0.2,0,0.4848485,0.53333336,0.41011047,0.5228347
69,3,0,SVMSMOTE,0.2,0.1,0.45,0.6,0.41449213,0.53294516
70,3,0,SVMSMOTE,0.2,0.2,0.48387095,0.5,0.4196263,0.5089215
71,3,0,SVMSMOTE,0.2,0.3,0.5,0.46666667,0.39664215,0.485717
72,3,1,SVMSMOTE,0.1,0,0.625,0.5,0.457975,0.5942697
73,3,1,SVMSMOTE,0.1,0.1,0.53333336,0.53333336,0.45923576,0.58458817
74,3,1,SVMSMOTE,0.1,0.2,0.58064514,0.6,0.4564199,0.6182611
75,3,1,SVMSMOTE,0.1,0.3,0.516129,0.53333336,0.4308316,0.5667168
76,3,1,SVMSMOTE,0.2,0,0.55172414,0.53333336,0.43847743,0.5779394
77,3,1,SVMSMOTE,0.2,0.1,0.47058824,0.53333336,0.41422454,0.5414582
78,3,1,SVMSMOTE,0.2,0.2,0.5714286,0.53333336,0.46757716,0.5958108
79,3,1,SVMSMOTE,0.2,0.3,0.61538464,0.53333336,0.47323832,0.5987882
80,3,2,SVMSMOTE,0.1,0,0.6086956,0.4516129,0.4533917,0.554897
81,3,2,SVMSMOTE,0.1,0.1,0.47058824,0.516129,0.42668933,0.51738954
82,3,2,SVMSMOTE,0.1,0.2,0.5,0.4516129,0.418312,0.4968339
83,3,2,SVMSMOTE,0.1,0.3,0.5185185,0.4516129,0.43067324,0.50266546
84,3,2,SVMSMOTE,0.2,0,0.56,0.4516129,0.468742,0.526667
85,3,2,SVMSMOTE,0.2,0.1,0.516129,0.516129,0.4461927,0.5217924
86,3,2,SVMSMOTE,0.2,0.2,0.52,0.41935483,0.42753392,0.4871192
87,3,2,SVMSMOTE,0.2,0.3,0.53846157,0.4516129,0.4276912,0.5203311
88,3,3,SVMSMOTE,0.1,0,0.62068963,0.6,0.62402564,0.643697
89,3,3,SVMSMOTE,0.1,0.1,0.57575756,0.6333333,0.55925405,0.6356849
90,3,3,SVMSMOTE,0.1,0.2,0.62068963,0.6,0.5829798,0.643697
91,3,3,SVMSMOTE,0.1,0.3,0.62068963,0.6,0.5386826,0.643697
92,3,3,SVMSMOTE,0.2,0,0.6296296,0.56666666,0.5777614,0.63986456
93,3,3,SVMSMOTE,0.2,0.1,0.5862069,0.56666666,0.5043943,0.6149913
94,3,3,SVMSMOTE,0.2,0.2,0.6551724,0.6333333,0.5741911,0.6724028
95,3,3,SVMSMOTE,0.2,0.3,0.6,0.6,0.58787036,0.6371918
