,i,fold,n_remove,scaler,clip,u1,d1,u2,d2,batch,epoch,patience,lr,precision,recall,auc,mcc
45,45,1,0,RobustScaler,None,256,0.5,na,na,4096,75,20,0.001,0.5217391,0.4,0.44989663,0.45329052
46,46,1,0,RobustScaler,3,256,0.5,na,na,4096,75,20,0.001,0.625,0.33333334,0.45826182,0.46734554
47,47,1,0,RobustScaler,5,256,0.5,na,na,4096,75,20,0.001,0.71428573,0.33333334,0.4994805,0.49340475
48,48,1,25,StandardScaler,None,256,0.5,na,na,4096,75,20,0.001,0.6363636,0.46666667,0.49158552,0.5558008
49,49,1,25,StandardScaler,3,256,0.5,na,na,4096,75,20,0.001,0.5625,0.3,0.51503265,0.4138168
50,50,1,25,StandardScaler,5,256,0.5,na,na,4096,75,20,0.001,0.5714286,0.4,0.5204879,0.48891574
51,51,1,25,RobustScaler,None,256,0.5,na,na,4096,75,20,0.001,0.53846157,0.46666667,0.38976246,0.50672984
52,52,1,25,RobustScaler,3,256,0.5,na,na,4096,75,20,0.001,0.53333336,0.26666668,0.48231268,0.3867165
53,53,1,25,RobustScaler,5,256,0.5,na,na,4096,75,20,0.001,0.6923077,0.3,0.4971525,0.4635796
54,54,1,50,StandardScaler,None,256,0.5,na,na,4096,75,20,0.001,0.5294118,0.3,0.42009068,0.3988165
55,55,1,50,StandardScaler,3,256,0.5,na,na,4096,75,20,0.001,0.5625,0.3,0.55024064,0.4081258
56,56,1,50,StandardScaler,5,256,0.5,na,na,4096,75,20,0.001,0.5,0.36666667,0.4631216,0.44449598
57,57,1,50,RobustScaler,None,256,0.5,na,na,4096,75,20,0.001,0.6,0.5,0.38246667,0.56018865
58,58,1,50,RobustScaler,3,256,0.5,na,na,4096,75,20,0.001,0.53333336,0.26666668,0.5254523,0.37724626
59,59,1,50,RobustScaler,5,256,0.5,na,na,4096,75,20,0.001,0.5882353,0.33333334,0.44853508,0.44707045
60,60,1,75,StandardScaler,None,256,0.5,na,na,4096,75,20,0.001,0.61904764,0.43333334,0.4863338,0.53267074
61,61,1,75,StandardScaler,3,256,0.5,na,na,4096,75,20,0.001,0.5217391,0.4,0.45182163,0.47250903
62,62,1,75,StandardScaler,5,256,0.5,na,na,4096,75,20,0.001,0.6315789,0.4,0.545606,0.51306385
63,63,1,75,RobustScaler,None,256,0.5,na,na,4096,75,20,0.001,0.56,0.46666667,0.33136004,0.5182866
64,64,1,75,RobustScaler,3,256,0.5,na,na,4096,75,20,0.001,0.6923077,0.3,0.5419678,0.45313686
65,65,1,75,RobustScaler,5,256,0.5,na,na,4096,75,20,0.001,0.6111111,0.36666667,0.5330332,0.47588122
66,66,1,100,StandardScaler,None,256,0.5,na,na,4096,75,20,0.001,0.61904764,0.43333334,0.45892882,0.53267074
67,67,1,100,StandardScaler,3,256,0.5,na,na,4096,75,20,0.001,0.57894737,0.36666667,0.5050861,0.47467697
68,68,1,100,StandardScaler,5,256,0.5,na,na,4096,75,20,0.001,0.5625,0.3,0.52364963,0.4138168
69,69,1,100,RobustScaler,None,256,0.5,na,na,4096,75,20,0.001,0.5652174,0.43333334,0.36988944,0.49648172
70,70,1,100,RobustScaler,3,256,0.5,na,na,4096,75,20,0.001,0.46666667,0.23333333,0.4500929,0.33454195
71,71,1,100,RobustScaler,5,256,0.5,na,na,4096,75,20,0.001,0.53333336,0.26666668,0.45022947,0.39576474
72,72,1,125,StandardScaler,None,256,0.5,na,na,4096,75,20,0.001,0.68421054,0.43333334,0.46365207,0.5535042
73,73,1,125,StandardScaler,3,256,0.5,na,na,4096,75,20,0.001,0.61538464,0.26666668,0.4906415,0.40478665
74,74,1,125,StandardScaler,5,256,0.5,na,na,4096,75,20,0.001,0.53333336,0.26666668,0.491538,0.38289216
75,75,1,125,RobustScaler,None,256,0.5,na,na,4096,75,20,0.001,0.5217391,0.4,0.36493915,0.46768814
76,76,1,125,RobustScaler,3,256,0.5,na,na,4096,75,20,0.001,0.5882353,0.33333334,0.5032803,0.45124662
77,77,1,125,RobustScaler,5,256,0.5,na,na,4096,75,20,0.001,0.5294118,0.3,0.47780997,0.41014686
78,78,1,250,StandardScaler,None,256,0.5,na,na,4096,75,20,0.001,0.5714286,0.4,0.42128015,0.49073043
79,79,1,250,StandardScaler,3,256,0.5,na,na,4096,75,20,0.001,0.5625,0.3,0.47411895,0.4081258
80,80,1,250,StandardScaler,5,256,0.5,na,na,4096,75,20,0.001,0.5625,0.3,0.58011174,0.4138168
81,81,1,250,RobustScaler,None,256,0.5,na,na,4096,75,20,0.001,0.55172414,0.53333336,0.38175875,0.5466968
82,82,1,250,RobustScaler,3,256,0.5,na,na,4096,75,20,0.001,0.61538464,0.26666668,0.46542442,0.41144907
83,83,1,250,RobustScaler,5,256,0.5,na,na,4096,75,20,0.001,0.4375,0.23333333,0.46075594,0.32729182
84,84,2,0,StandardScaler,None,256,0.5,na,na,4096,75,20,0.001,0.4117647,0.22580644,0.33295298,0.37059692
85,85,2,0,StandardScaler,3,256,0.5,na,na,4096,75,20,0.001,0.55,0.3548387,0.3747497,0.49859402
86,86,2,0,StandardScaler,5,256,0.5,na,na,4096,75,20,0.001,0.5,0.2580645,0.35447234,0.41923922
87,87,2,0,RobustScaler,None,256,0.5,na,na,4096,75,20,0.001,0.29411766,0.16129032,0.13924849,0.25723067
88,88,2,0,RobustScaler,3,256,0.5,na,na,4096,75,20,0.001,0.53333336,0.2580645,0.38376266,0.4138173
89,89,2,0,RobustScaler,5,256,0.5,na,na,4096,75,20,0.001,0.53333336,0.2580645,0.34133422,0.38748586
90,90,2,25,StandardScaler,None,256,0.5,na,na,4096,75,20,0.001,0.3125,0.16129032,0.30237848,0.29398927
91,91,2,25,StandardScaler,3,256,0.5,na,na,4096,75,20,0.001,0.53846157,0.22580644,0.3947637,0.40163264
92,92,2,25,StandardScaler,5,256,0.5,na,na,4096,75,20,0.001,0.5294118,0.29032257,0.39168894,0.43215886
93,93,2,25,RobustScaler,None,256,0.5,na,na,4096,75,20,0.001,0.3846154,0.16129032,0.18721662,0.2908253
94,94,2,25,RobustScaler,3,256,0.5,na,na,4096,75,20,0.001,0.5714286,0.2580645,0.3073484,0.43205523
95,95,2,25,RobustScaler,5,256,0.5,na,na,4096,75,20,0.001,0.6923077,0.29032257,0.3853912,0.47836688
